lineup_id,d1,d2,n_d1,n_d2,median_d1,median_d2,median_diff,p_value,lap_gap,lap_se,ci_lower,ci_upper,lap_favours_d1,pit_favours_d1,concordant
Alfa Romeo_2023_A,BOT,ZHO,36,43,0.3589999999999982,0.2960000000000029,-0.06299999999999528,0.8981713371394822,0.022,0.05,-0.075,0.12,True,False,False
AlphaTauri_2021_A,GAS,TSU,15,11,-0.030999999999998806,0.0010000000000012221,0.03200000000000003,0.7952497535349383,0.372,0.061,0.254,0.491,True,True,True
AlphaTauri_2022_A,GAS,TSU,24,29,-0.45700000000000074,-0.36400000000000077,0.09299999999999997,0.9572485124986442,0.021,0.053,-0.084,0.125,True,True,True
Alpine_2021_C,ALO,OCO,16,17,-0.1714999999999982,-0.24050000000000082,-0.06900000000000261,0.5284437757090688,0.15,0.04,0.071,0.229,True,False,False
Alpine_2022_A,ALO,OCO,18,15,-0.16499999999999915,0.16900000000000048,0.33399999999999963,0.1639313501447487,0.039,0.049,-0.057,0.135,True,True,True
Alpine_2024_D,GAS,OCO,15,15,-0.08099999999999952,0.062000000000001165,0.14300000000000068,0.6482039260122094,0.193,0.052,0.091,0.296,True,True,True
Aston Martin_2022_E,STR,VET,12,13,0.37450000000000117,-0.5299999999999976,-0.9044999999999987,0.10858440161427454,-0.073,0.141,-0.35,0.204,False,False,True
Aston Martin_2023_A,ALO,STR,29,30,0.17099999999999937,-0.031000000000000583,-0.20199999999999996,0.16534438401785478,0.489,0.041,0.408,0.57,True,False,False
Aston Martin_2024_A,ALO,STR,29,28,0.08799999999999741,-0.040000000000000924,-0.12799999999999834,0.3799724381422285,0.23,0.036,0.16,0.3,True,False,False
Aston Martin_2025_A,ALO,STR,13,15,-0.027499999999999858,-0.020000000000003126,0.0074999999999967315,0.7124458824716295,0.269,0.058,0.154,0.383,True,True,True
Ferrari_2019_A,LEC,VET,27,28,-0.2380000000000031,-0.14649999999999963,0.09150000000000347,0.6676715837808198,-0.108,0.039,-0.183,-0.032,False,True,False
Ferrari_2020_A,LEC,VET,13,14,0.17050000000000054,-0.09950000000000081,-0.27000000000000135,0.1984628844147559,0.497,0.058,0.384,0.609,True,False,False
Ferrari_2023_C,LEC,SAI,19,22,-0.4684999999999988,-0.42100000000000115,0.047499999999997655,0.824137200821752,0.075,0.041,-0.006,0.157,True,True,True
