lineup_id,d1,d2,n_stints,chi2,p_value,contingency
Alfa Romeo Racing_2019_A,GIO,RAI,101,0.05856180384241584,0.996296406340002,"{'HARD': {'GIO': 10, 'RAI': 11}, 'INTERMEDIATE': {'GIO': 2, 'RAI': 2}, 'MEDIUM': {'GIO': 19, 'RAI': 21}, 'SOFT': {'GIO': 18, 'RAI': 18}}"
Alfa Romeo Racing_2020_A,GIO,RAI,76,1.2563112213350682,0.739532606169167,"{'HARD': {'GIO': 9, 'RAI': 8}, 'INTERMEDIATE': {'GIO': 1, 'RAI': 3}, 'MEDIUM': {'GIO': 19, 'RAI': 18}, 'SOFT': {'GIO': 8, 'RAI': 10}}"
Alfa Romeo Racing_2021_A,GIO,RAI,24,0.7333333333333334,0.6930406200864416,"{'HARD': {'GIO': 7, 'RAI': 5}, 'MEDIUM': {'GIO': 4, 'RAI': 6}, 'SOFT': {'GIO': 1, 'RAI': 1}}"
Alfa Romeo Racing_2021_C,GIO,RAI,17,1.3458333333333334,0.718279327773798,"{'HARD': {'GIO': 2, 'RAI': 2}, 'INTERMEDIATE': {'GIO': 1, 'RAI': 1}, 'MEDIUM': {'GIO': 6, 'RAI': 4}, 'SOFT': {'GIO': 0, 'RAI': 1}}"
Alfa Romeo Racing_2021_G,GIO,RAI,42,0.2909090909090909,0.961729068419442,"{'HARD': {'GIO': 5, 'RAI': 6}, 'INTERMEDIATE': {'GIO': 2, 'RAI': 2}, 'MEDIUM': {'GIO': 11, 'RAI': 11}, 'SOFT': {'GIO': 3, 'RAI': 2}}"
Alfa Romeo_2022_A,BOT,ZHO,27,1.275824175824176,0.7348817128165377,"{'HARD': {'BOT': 4, 'ZHO': 5}, 'MEDIUM': {'BOT': 6, 'ZHO': 6}, 'None': {'BOT': 1, 'ZHO': 0}, 'SOFT': {'BOT': 2, 'ZHO': 3}}"
Alfa Romeo_2022_D,BOT,ZHO,68,1.0827380952380954,0.8970012403463862,"{'HARD': {'BOT': 10, 'ZHO': 11}, 'INTERMEDIATE': {'BOT': 2, 'ZHO': 3}, 'MEDIUM': {'BOT': 13, 'ZHO': 13}, 'SOFT': {'BOT': 7, 'ZHO': 8}, 'WET': {'BOT': 0, 'ZHO': 1}}"
Alfa Romeo_2023_A,BOT,ZHO,63,0.7356350806451613,0.8647919089847597,"{'HARD': {'BOT': 14, 'ZHO': 13}, 'INTERMEDIATE': {'BOT': 2, 'ZHO': 1}, 'MEDIUM': {'BOT': 10, 'ZHO': 11}, 'SOFT': {'BOT': 5, 'ZHO': 7}}"
Alfa Romeo_2023_C,BOT,ZHO,51,0.0204,0.999229792531924,"{'HARD': {'BOT': 12, 'ZHO': 13}, 'INTERMEDIATE': {'BOT': 1, 'ZHO': 1}, 'MEDIUM': {'BOT': 9, 'ZHO': 9}, 'SOFT': {'BOT': 3, 'ZHO': 3}}"
AlphaTauri_2020_A,GAS,KVY,77,1.4461703021633587,0.8361320076191392,"{'HARD': {'GAS': 14, 'KVY': 15}, 'INTERMEDIATE': {'GAS': 2, 'KVY': 1}, 'MEDIUM': {'GAS': 11, 'KVY': 12}, 'SOFT': {'GAS': 11, 'KVY': 10}, 'WET': {'GAS': 1, 'KVY': 0}}"
AlphaTauri_2021_A,GAS,TSU,48,0.06036120401337798,0.9961264883956725,"{'HARD': {'GAS': 9, 'TSU': 9}, 'INTERMEDIATE': {'GAS': 1, 'TSU': 1}, 'MEDIUM': {'GAS': 8, 'TSU': 7}, 'SOFT': {'GAS': 7, 'TSU': 6}}"
AlphaTauri_2021_C,GAS,TSU,28,1.958041958041958,0.5811607623607813,"{'HARD': {'GAS': 3, 'TSU': 5}, 'INTERMEDIATE': {'GAS': 1, 'TSU': 0}, 'MEDIUM': {'GAS': 6, 'TSU': 5}, 'SOFT': {'GAS': 5, 'TSU': 3}}"
AlphaTauri_2021_E,GAS,TSU,16,5.142857142857143,0.161630379381049,"{'HARD': {'GAS': 3, 'TSU': 4}, 'INTERMEDIATE': {'GAS': 2, 'TSU': 2}, 'MEDIUM': {'GAS': 3, 'TSU': 0}, 'SOFT': {'GAS': 0, 'TSU': 2}}"
AlphaTauri_2022_A,GAS,TSU,86,2.7961930571686673,0.7313713577586967,"{'HARD': {'GAS': 15, 'TSU': 12}, 'INTERMEDIATE': {'GAS': 2, 'TSU': 2}, 'MEDIUM': {'GAS': 13, 'TSU': 15}, 'None': {'GAS': 1, 'TSU': 0}, 'SOFT': {'GAS': 9, 'TSU': 15}, 'WET': {'GAS': 1, 'TSU': 1}}"
AlphaTauri_2022_C,GAS,TSU,25,0.2938034188034188,0.9611896460255295,"{'HARD': {'GAS': 2, 'TSU': 1}, 'INTERMEDIATE': {'GAS': 1, 'TSU': 1}, 'MEDIUM': {'GAS': 5, 'TSU': 5}, 'SOFT': {'GAS': 5, 'TSU': 5}}"
