lineup,d1,d2,gap,se,ci_lower,ci_upper,n_races,n_laps,team,year,abs_gap,significant
Alfa Romeo Racing_2019_A,GIO,RAI,-0.317,0.045,-0.404,-0.229,19,1887,Alfa Romeo Racing,2019,0.317,True
Alfa Romeo Racing_2020_A,GIO,RAI,-0.119,0.046,-0.21,-0.029,14,1388,Alfa Romeo Racing,2020,0.119,True
Alfa Romeo Racing_2021_A,GIO,RAI,-0.094,0.088,-0.267,0.079,5,421,Alfa Romeo Racing,2021,0.094,False
Alfa Romeo Racing_2021_C,GIO,RAI,-0.123,0.128,-0.374,0.127,3,270,Alfa Romeo Racing,2021,0.123,False
Alfa Romeo Racing_2021_G,GIO,RAI,-0.081,0.068,-0.215,0.052,7,696,Alfa Romeo Racing,2021,0.081,False
Alfa Romeo_2022_A,BOT,ZHO,0.084,0.087,-0.086,0.254,4,378,Alfa Romeo,2022,0.084,False
Alfa Romeo_2022_D,BOT,ZHO,0.285,0.062,0.163,0.406,12,1019,Alfa Romeo,2022,0.285,True
Alfa Romeo_2023_A,BOT,ZHO,0.022,0.05,-0.075,0.12,11,1047,Alfa Romeo,2023,0.022,False
Alfa Romeo_2023_C,BOT,ZHO,-0.344,0.062,-0.465,-0.224,9,866,Alfa Romeo,2023,0.344,True
AlphaTauri_2020_A,GAS,KVY,0.213,0.048,0.119,0.307,12,1174,AlphaTauri,2020,0.213,True
AlphaTauri_2021_A,GAS,TSU,0.372,0.061,0.254,0.491,9,844,AlphaTauri,2021,0.372,True
AlphaTauri_2021_C,GAS,TSU,0.632,0.093,0.449,0.815,5,498,AlphaTauri,2021,0.632,True
AlphaTauri_2022_A,GAS,TSU,0.021,0.053,-0.084,0.125,14,1229,AlphaTauri,2022,0.021,False
AlphaTauri_2022_C,GAS,TSU,0.041,0.109,-0.173,0.256,4,318,AlphaTauri,2022,0.041,False
AlphaTauri_2023_B,DEV,TSU,-0.112,0.102,-0.313,0.088,3,301,AlphaTauri,2023,0.112,False
Alpine_2021_C,ALO,OCO,0.15,0.04,0.071,0.229,17,1721,Alpine,2021,0.15,True
Alpine_2022_A,ALO,OCO,0.039,0.049,-0.057,0.135,9,799,Alpine,2022,0.039,False
Alpine_2022_C,ALO,OCO,0.086,0.057,-0.026,0.198,10,926,Alpine,2022,0.086,False
Alpine_2023_A,GAS,OCO,0.118,0.037,0.045,0.19,19,1808,Alpine,2023,0.118,True
Alpine_2024_B,GAS,OCO,0.142,0.071,0.003,0.281,5,492,Alpine,2024,0.142,True
Alpine_2024_D,GAS,OCO,0.193,0.052,0.091,0.296,8,825,Alpine,2024,0.193,True
Alpine_2024_G,GAS,OCO,0.182,0.085,0.015,0.349,3,328,Alpine,2024,0.182,True
Alpine_2025_I,COL,GAS,-0.025,0.078,-0.177,0.128,4,426,Alpine,2025,0.025,False
Alpine_2025_O,COL,GAS,-0.227,0.084,-0.391,-0.062,4,431,Alpine,2025,0.227,True
Aston Martin_2021_A,STR,VET,0.085,0.071,-0.053,0.224,8,725,Aston Martin,2021,0.085,False
Aston Martin_2021_C,STR,VET,-0.163,0.051,-0.262,-0.064,11,1134,Aston Martin,2021,0.163,True
Aston Martin_2022_A,STR,VET,-0.208,0.087,-0.379,-0.037,3,285,Aston Martin,2022,0.208,True
Aston Martin_2022_C,STR,VET,-0.003,0.062,-0.124,0.118,10,899,Aston Martin,2022,0.003,False
Aston Martin_2022_E,STR,VET,-0.073,0.141,-0.35,0.204,3,255,Aston Martin,2022,0.073,False
Aston Martin_2023_A,ALO,STR,0.489,0.041,0.408,0.57,16,1535,Aston Martin,2023,0.489,True
Aston Martin_2023_C,ALO,STR,-0.11,0.072,-0.251,0.031,3,341,Aston Martin,2023,0.11,False
Aston Martin_2024_A,ALO,STR,0.23,0.036,0.16,0.3,18,1854,Aston Martin,2024,0.23,True
Aston Martin_2025_A,ALO,STR,0.269,0.058,0.154,0.383,5,535,Aston Martin,2025,0.269,True
Aston Martin_2025_C,ALO,STR,0.111,0.064,-0.014,0.236,5,493,Aston Martin,2025,0.111,False
Aston Martin_2025_E,ALO,STR,0.587,0.082,0.426,0.748,6,533,Aston Martin,2025,0.587,True
Ferrari_2018_A,RAI,VET,0.063,0.055,-0.045,0.171,12,766,Ferrari,2018,0.063,False
Ferrari_2019_A,LEC,VET,-0.108,0.039,-0.183,-0.032,18,1764,Ferrari,2019,0.108,True
Ferrari_2020_A,LEC,VET,0.497,0.058,0.384,0.609,11,1008,Ferrari,2020,0.497,True
Ferrari_2021_A,LEC,SAI,0.089,0.061,-0.03,0.208,8,751,Ferrari,2021,0.089,False
Ferrari_2021_E,LEC,SAI,0.181,0.059,0.065,0.297,8,818,Ferrari,2021,0.181,True
Ferrari_2022_C,LEC,SAI,-0.077,0.057,-0.187,0.034,6,572,Ferrari,2022,0.077,False
Ferrari_2022_G,LEC,SAI,0.039,0.083,-0.123,0.202,7,575,Ferrari,2022,0.039,False
Ferrari_2023_C,LEC,SAI,0.075,0.041,-0.006,0.157,13,1255,Ferrari,2023,0.075,False
Ferrari_2023_E,LEC,SAI,-0.36,0.101,-0.558,-0.161,3,307,Ferrari,2023,0.36,True
Ferrari_2024_A,LEC,SAI,0.009,0.033,-0.056,0.073,18,1863,Ferrari,2024,0.009,False
Ferrari_2024_C,LEC,SAI,0.122,0.073,-0.021,0.265,3,336,Ferrari,2024,0.122,False
Ferrari_2025_A,HAM,LEC,-0.276,0.035,-0.345,-0.207,20,1996,Ferrari,2025,0.276,True
Force India_2018_E,OCO,PER,0.009,0.168,-0.32,0.338,3,215,Force India,2018,0.009,False
Haas F1 Team_2018_A,GRO,MAG,-0.022,0.089,-0.196,0.152,8,420,Haas F1 Team,2018,0.022,False
Haas F1 Team_2019_A,GRO,MAG,-0.071,0.055,-0.179,0.037,14,1385,Haas F1 Team,2019,0.071,False
Haas F1 Team_2019_C,GRO,MAG,-0.021,0.137,-0.289,0.247,3,291,Haas F1 Team,2019,0.021,False
Haas F1 Team_2020_G,GRO,MAG,-0.22,0.091,-0.397,-0.042,5,509,Haas F1 Team,2020,0.22,True
Haas F1 Team_2021_D,MAZ,MSC,-0.225,0.152,-0.522,0.072,4,339,Haas F1 Team,2021,0.225,False
Haas F1 Team_2021_H,MAZ,MSC,-0.671,0.088,-0.843,-0.5,8,857,Haas F1 Team,2021,0.671,True
Haas F1 Team_2022_A,MAG,MSC,-0.017,0.05,-0.116,0.082,14,1234,Haas F1 Team,2022,0.017,False
Haas F1 Team_2023_A,HUL,MAG,0.144,0.045,0.057,0.232,19,1748,Haas F1 Team,2023,0.144,True
Haas F1 Team_2024_A,HUL,MAG,0.154,0.07,0.016,0.291,3,324,Haas F1 Team,2024,0.154,True
Haas F1 Team_2024_C,HUL,MAG,0.268,0.043,0.184,0.352,16,1593,Haas F1 Team,2024,0.268,True
Haas F1 Team_2025_A,BEA,OCO,0.071,0.038,-0.004,0.146,21,2133,Haas F1 Team,2025,0.071,False
Kick Sauber_2024_A,BOT,ZHO,-0.063,0.043,-0.148,0.021,19,1958,Kick Sauber,2024,0.063,False
Kick Sauber_2025_A,BOR,HUL,-0.099,0.075,-0.245,0.047,4,412,Kick Sauber,2025,0.099,False
Kick Sauber_2025_C,BOR,HUL,-0.001,0.064,-0.126,0.124,5,547,Kick Sauber,2025,0.001,False
Kick Sauber_2025_G,BOR,HUL,0.016,0.104,-0.188,0.22,5,520,Kick Sauber,2025,0.016,False
McLaren_2018_A,ALO,VAN,0.525,0.118,0.294,0.755,3,191,McLaren,2018,0.525,True
McLaren_2018_C,ALO,VAN,0.165,0.074,0.021,0.309,9,620,McLaren,2018,0.165,True
McLaren_2019_A,NOR,SAI,0.07,0.086,-0.098,0.238,4,402,McLaren,2019,0.07,False
McLaren_2019_C,NOR,SAI,-0.107,0.05,-0.205,-0.009,13,1255,McLaren,2019,0.107,True
McLaren_2020_A,NOR,SAI,0.143,0.046,0.052,0.234,4,348,McLaren,2020,0.143,True
McLaren_2020_C,NOR,SAI,-0.206,0.059,-0.321,-0.09,6,576,McLaren,2020,0.206,True
McLaren_2020_E,NOR,SAI,-0.168,0.057,-0.28,-0.056,3,379,McLaren,2020,0.168,True
McLaren_2021_A,NOR,RIC,0.438,0.055,0.331,0.546,8,752,McLaren,2021,0.438,True
McLaren_2021_C,NOR,RIC,0.365,0.051,0.265,0.465,11,1152,McLaren,2021,0.365,True
McLaren_2022_A,NOR,RIC,0.487,0.049,0.391,0.584,19,1664,McLaren,2022,0.487,True
McLaren_2023_A,NOR,PIA,0.373,0.069,0.238,0.507,4,399,McLaren,2023,0.373,True
McLaren_2023_C,NOR,PIA,0.223,0.046,0.133,0.314,6,593,McLaren,2023,0.223,True
McLaren_2023_E,NOR,PIA,0.366,0.055,0.258,0.473,8,837,McLaren,2023,0.366,True
McLaren_2024_A,NOR,PIA,0.262,0.034,0.195,0.328,22,2288,McLaren,2024,0.262,True
McLaren_2025_C,NOR,PIA,0.007,0.028,-0.048,0.063,19,1941,McLaren,2025,0.007,False
Mercedes_2018_A,BOT,HAM,-0.308,0.059,-0.423,-0.192,12,859,Mercedes,2018,0.308,True
Mercedes_2019_A,BOT,HAM,-0.199,0.033,-0.264,-0.134,20,2040,Mercedes,2019,0.199,True
Mercedes_2020_A,BOT,HAM,-0.324,0.05,-0.422,-0.226,11,1025,Mercedes,2020,0.324,True
Mercedes_2020_C,BOT,HAM,-0.306,0.068,-0.439,-0.172,3,334,Mercedes,2020,0.306,True
Mercedes_2021_A,BOT,HAM,-0.433,0.063,-0.557,-0.31,8,725,Mercedes,2021,0.433,True
Mercedes_2021_C,BOT,HAM,-0.729,0.054,-0.836,-0.622,11,1104,Mercedes,2021,0.729,True
Mercedes_2022_A,HAM,RUS,-0.033,0.062,-0.155,0.088,5,466,Mercedes,2022,0.033,False
Mercedes_2022_D,HAM,RUS,0.007,0.064,-0.12,0.133,14,1283,Mercedes,2022,0.007,False
Mercedes_2023_A,HAM,RUS,0.119,0.04,0.041,0.198,15,1458,Mercedes,2023,0.119,True
Mercedes_2023_C,HAM,RUS,0.041,0.059,-0.074,0.156,5,523,Mercedes,2023,0.041,False
Mercedes_2024_A,HAM,RUS,-0.075,0.039,-0.152,0.003,20,2070,Mercedes,2024,0.075,False
Mercedes_2025_C,ANT,RUS,-0.242,0.031,-0.303,-0.181,19,1942,Mercedes,2025,0.242,True
RB_2024_B,RIC,TSU,0.1,0.054,-0.006,0.207,8,856,RB,2024,0.1,False
RB_2024_H,RIC,TSU,-0.151,0.113,-0.374,0.071,3,317,RB,2024,0.151,False
Racing Bulls_2025_C,HAD,LAW,-0.353,0.081,-0.511,-0.196,4,366,Racing Bulls,2025,0.353,True
Racing Bulls_2025_G,HAD,LAW,0.165,0.041,0.085,0.245,13,1374,Racing Bulls,2025,0.165,True
Racing Point_2018_A,OCO,PER,0.07,0.185,-0.292,0.431,3,193,Racing Point,2018,0.07,False
Racing Point_2019_A,PER,STR,0.157,0.054,0.051,0.264,11,1060,Racing Point,2019,0.157,True
Racing Point_2019_C,PER,STR,0.318,0.07,0.18,0.455,9,913,Racing Point,2019,0.318,True
Racing Point_2020_G,PER,STR,0.022,0.088,-0.151,0.194,4,407,Racing Point,2020,0.022,False
Racing Point_2020_I,PER,STR,0.147,0.069,0.013,0.282,4,462,Racing Point,2020,0.147,True
Red Bull Racing_2018_A,RIC,VER,0.003,0.065,-0.124,0.13,5,287,Red Bull Racing,2018,0.003,False
Red Bull Racing_2018_D,RIC,VER,-0.448,0.112,-0.668,-0.228,5,326,Red Bull Racing,2018,0.448,True
Red Bull Racing_2019_B,GAS,VER,-0.878,0.086,-1.047,-0.709,4,402,Red Bull Racing,2019,0.878,True
Red Bull Racing_2019_E,GAS,VER,-0.874,0.063,-0.996,-0.751,5,518,Red Bull Racing,2019,0.874,True
Red Bull Racing_2020_A,ALB,VER,-0.958,0.053,-1.062,-0.854,9,844,Red Bull Racing,2020,0.958,True
Red Bull Racing_2021_A,PER,VER,-0.56,0.074,-0.704,-0.415,4,379,Red Bull Racing,2021,0.56,True
Red Bull Racing_2021_C,PER,VER,-1.057,0.12,-1.293,-0.822,3,283,Red Bull Racing,2021,1.057,True
Red Bull Racing_2021_E,PER,VER,-0.416,0.041,-0.497,-0.335,10,1092,Red Bull Racing,2021,0.416,True
Red Bull Racing_2022_A,PER,VER,-0.256,0.04,-0.335,-0.177,19,1699,Red Bull Racing,2022,0.256,True
Red Bull Racing_2023_A,PER,VER,-0.344,0.04,-0.422,-0.266,12,1141,Red Bull Racing,2023,0.344,True
Red Bull Racing_2023_C,PER,VER,-0.562,0.064,-0.689,-0.436,8,818,Red Bull Racing,2023,0.562,True
Red Bull Racing_2024_B,PER,VER,-0.513,0.039,-0.589,-0.437,14,1415,Red Bull Racing,2024,0.513,True
Red Bull Racing_2024_D,PER,VER,-0.754,0.049,-0.85,-0.658,5,495,Red Bull Racing,2024,0.754,True
Red Bull Racing_2025_D,TSU,VER,-1.053,0.074,-1.197,-0.909,4,361,Red Bull Racing,2025,1.053,True
Red Bull Racing_2025_F,TSU,VER,-1.199,0.045,-1.287,-1.111,10,1031,Red Bull Racing,2025,1.199,True
Red Bull Racing_2025_H,TSU,VER,-1.15,0.063,-1.274,-1.027,4,433,Red Bull Racing,2025,1.15,True
Renault_2018_B,HUL,SAI,0.242,0.181,-0.113,0.597,3,123,Renault,2018,0.242,False
Renault_2018_D,HUL,SAI,0.258,0.093,0.075,0.441,7,427,Renault,2018,0.258,True
Renault_2019_A,HUL,RIC,-0.022,0.044,-0.108,0.065,19,1857,Renault,2019,0.022,False
Renault_2020_A,OCO,RIC,-0.32,0.045,-0.407,-0.232,13,1248,Renault,2020,0.32,True
Sauber_2018_G,ERI,LEC,-0.312,0.095,-0.498,-0.126,5,319,Sauber,2018,0.312,True
Toro Rosso_2018_A,GAS,HAR,-290.057,8.065,-305.864,-274.251,3,160,Toro Rosso,2018,290.057,True
Toro Rosso_2019_B,ALB,KVY,-0.064,0.116,-0.292,0.165,4,390,Toro Rosso,2019,0.064,False
Toro Rosso_2019_D,ALB,KVY,-0.142,0.073,-0.286,0.002,5,494,Toro Rosso,2019,0.142,False
Toro Rosso_2019_E,GAS,KVY,-0.099,0.1,-0.295,0.097,3,285,Toro Rosso,2019,0.099,False
Williams_2018_E,SIR,STR,-0.095,0.114,-0.318,0.129,3,241,Williams,2018,0.095,False
Williams_2018_G,SIR,STR,-0.41,0.112,-0.628,-0.191,7,493,Williams,2018,0.41,True
Williams_2019_A,KUB,RUS,-0.671,0.051,-0.772,-0.571,20,1901,Williams,2019,0.671,True
Williams_2020_A,LAT,RUS,-0.415,0.068,-0.548,-0.282,10,901,Williams,2020,0.415,True
Williams_2021_A,LAT,RUS,-0.35,0.087,-0.52,-0.181,6,559,Williams,2021,0.35,True
Williams_2021_C,LAT,RUS,-0.157,0.054,-0.261,-0.052,12,1289,Williams,2021,0.157,True
Williams_2022_A,ALB,LAT,0.803,0.095,0.617,0.989,6,487,Williams,2022,0.803,True
Williams_2022_C,ALB,LAT,0.338,0.089,0.164,0.512,5,489,Williams,2022,0.338,True
Williams_2022_F,ALB,LAT,0.536,0.078,0.384,0.688,5,510,Williams,2022,0.536,True
Williams_2023_A,ALB,SAR,0.216,0.04,0.138,0.293,16,1518,Williams,2023,0.216,True
Williams_2024_E,ALB,SAR,0.437,0.059,0.32,0.553,7,687,Williams,2024,0.437,True
Williams_2025_C,ALB,SAI,-0.041,0.04,-0.12,0.038,19,1831,Williams,2025,0.041,False
