Era,CircuitType,FieldPos,mean,std,count
Post-2022,HighSpeed,Back,0.83,0.129,16
Post-2022,HighSpeed,Front,0.781,0.121,23
Post-2022,HighSpeed,Midfield,0.819,0.13,53
Post-2022,Street,Back,0.869,0.064,23
Post-2022,Street,Front,0.771,0.199,26
Post-2022,Street,Midfield,0.847,0.109,46
Post-2022,Technical,Back,0.764,0.128,28
Post-2022,Technical,Front,0.696,0.253,25
Post-2022,Technical,Midfield,0.735,0.217,43
Pre-2022,HighSpeed,Back,0.806,0.207,19
Pre-2022,HighSpeed,Front,0.762,0.233,22
Pre-2022,HighSpeed,Midfield,0.819,0.154,47
Pre-2022,Street,Back,0.868,0.136,20
Pre-2022,Street,Front,0.752,0.264,25
Pre-2022,Street,Midfield,0.85,0.149,45
Pre-2022,Technical,Back,0.871,0.066,19
Pre-2022,Technical,Front,0.765,0.232,26
Pre-2022,Technical,Midfield,0.854,0.062,48
