year,race,driver,team,lap_number,stint,compound_before,compound_after,pit_in_time
2022,Bahrain Grand Prix,VER,Red Bull Racing,15.0,2.0,SOFT,SOFT,0 days 01:27:42.639000
2022,Bahrain Grand Prix,VER,Red Bull Racing,31.0,3.0,SOFT,MEDIUM,0 days 01:54:16.261000
2022,Bahrain Grand Prix,VER,Red Bull Racing,44.0,4.0,MEDIUM,SOFT,0 days 02:15:39.761000
2022,Bahrain Grand Prix,GAS,AlphaTauri,15.0,2.0,SOFT,MEDIUM,0 days 01:28:12.428000
2022,Bahrain Grand Prix,GAS,AlphaTauri,33.0,3.0,MEDIUM,HARD,0 days 01:58:26.393000
2022,Bahrain Grand Prix,PER,Red Bull Racing,16.0,2.0,SOFT,MEDIUM,0 days 01:29:33.607000
2022,Bahrain Grand Prix,PER,Red Bull Racing,34.0,3.0,MEDIUM,SOFT,0 days 01:59:23.124000
2022,Bahrain Grand Prix,PER,Red Bull Racing,44.0,4.0,SOFT,SOFT,0 days 02:15:55.619000
2022,Bahrain Grand Prix,ALO,Alpine,12.0,2.0,SOFT,MEDIUM,0 days 01:23:12.969000
2022,Bahrain Grand Prix,ALO,Alpine,26.0,3.0,MEDIUM,HARD,0 days 01:46:56.220000
2022,Bahrain Grand Prix,ALO,Alpine,43.0,4.0,HARD,SOFT,0 days 02:15:25.946000
2022,Bahrain Grand Prix,LEC,Ferrari,16.0,2.0,SOFT,SOFT,0 days 01:29:18.783000
2022,Bahrain Grand Prix,LEC,Ferrari,32.0,3.0,SOFT,MEDIUM,0 days 01:55:50.532000
2022,Bahrain Grand Prix,LEC,Ferrari,47.0,4.0,MEDIUM,SOFT,0 days 02:21:39.087000
2022,Bahrain Grand Prix,STR,Aston Martin,19.0,2.0,SOFT,SOFT,0 days 01:35:21.103000
2022,Bahrain Grand Prix,STR,Aston Martin,39.0,3.0,SOFT,MEDIUM,0 days 02:09:08.218000
2022,Bahrain Grand Prix,STR,Aston Martin,46.0,4.0,MEDIUM,SOFT,0 days 02:22:03.472000
2022,Bahrain Grand Prix,MAG,Haas F1 Team,15.0,2.0,SOFT,SOFT,0 days 01:28:09.485000
2022,Bahrain Grand Prix,MAG,Haas F1 Team,35.0,3.0,SOFT,MEDIUM,0 days 02:01:41.867000
2022,Bahrain Grand Prix,MAG,Haas F1 Team,47.0,4.0,MEDIUM,SOFT,0 days 02:22:39.774000
2022,Bahrain Grand Prix,TSU,AlphaTauri,16.0,2.0,SOFT,MEDIUM,0 days 01:30:01.440000
2022,Bahrain Grand Prix,TSU,AlphaTauri,30.0,3.0,MEDIUM,SOFT,0 days 01:53:38.771000
2022,Bahrain Grand Prix,TSU,AlphaTauri,45.0,4.0,SOFT,SOFT,0 days 02:19:09.736000
2022,Bahrain Grand Prix,ALB,Williams,14.0,2.0,SOFT,MEDIUM,0 days 01:26:50.316000
2022,Bahrain Grand Prix,ALB,Williams,36.0,3.0,MEDIUM,MEDIUM,0 days 02:04:15.334000
2022,Bahrain Grand Prix,ALB,Williams,47.0,4.0,MEDIUM,SOFT,0 days 02:24:18.388000
2022,Bahrain Grand Prix,ZHO,Alfa Romeo,16.0,2.0,SOFT,MEDIUM,0 days 01:30:07.396000
2022,Bahrain Grand Prix,ZHO,Alfa Romeo,38.0,3.0,MEDIUM,MEDIUM,0 days 02:07:02.498000
2022,Bahrain Grand Prix,ZHO,Alfa Romeo,46.0,4.0,MEDIUM,SOFT,0 days 02:21:23.086000
2022,Bahrain Grand Prix,HUL,Aston Martin,20.0,2.0,SOFT,SOFT,0 days 01:37:17.033000
2022,Bahrain Grand Prix,HUL,Aston Martin,38.0,3.0,SOFT,MEDIUM,0 days 02:07:51.667000
2022,Bahrain Grand Prix,HUL,Aston Martin,45.0,4.0,MEDIUM,SOFT,0 days 02:20:29.217000
2022,Bahrain Grand Prix,RIC,McLaren,18.0,2.0,MEDIUM,SOFT,0 days 01:33:48.378000
2022,Bahrain Grand Prix,RIC,McLaren,34.0,3.0,SOFT,HARD,0 days 02:00:58.388000
2022,Bahrain Grand Prix,RIC,McLaren,45.0,4.0,HARD,SOFT,0 days 02:20:11.824000
2022,Bahrain Grand Prix,OCO,Alpine,15.0,2.0,SOFT,MEDIUM,0 days 01:28:19.203000
2022,Bahrain Grand Prix,OCO,Alpine,31.0,3.0,MEDIUM,HARD,0 days 01:55:15.694000
2022,Bahrain Grand Prix,OCO,Alpine,44.0,4.0,HARD,SOFT,0 days 02:16:57.452000
2022,Bahrain Grand Prix,NOR,McLaren,25.0,2.0,MEDIUM,HARD,0 days 01:45:45.277000
2022,Bahrain Grand Prix,NOR,McLaren,42.0,3.0,HARD,SOFT,0 days 02:14:26.156000
2022,Bahrain Grand Prix,NOR,McLaren,46.0,4.0,SOFT,SOFT,0 days 02:22:25.394000
2022,Bahrain Grand Prix,HAM,Mercedes,12.0,2.0,SOFT,HARD,0 days 01:23:00.195000
2022,Bahrain Grand Prix,HAM,Mercedes,28.0,3.0,HARD,MEDIUM,0 days 01:49:47.451000
2022,Bahrain Grand Prix,HAM,Mercedes,45.0,4.0,MEDIUM,SOFT,0 days 02:18:06.152000
2022,Bahrain Grand Prix,MSC,Haas F1 Team,13.0,2.0,SOFT,MEDIUM,0 days 01:25:10.228000
2022,Bahrain Grand Prix,MSC,Haas F1 Team,36.0,3.0,MEDIUM,SOFT,0 days 02:03:59.286000
2022,Bahrain Grand Prix,SAI,Ferrari,15.0,2.0,SOFT,SOFT,0 days 01:27:50.955000
2022,Bahrain Grand Prix,SAI,Ferrari,34.0,3.0,SOFT,MEDIUM,0 days 01:59:20.673000
2022,Bahrain Grand Prix,SAI,Ferrari,45.0,4.0,MEDIUM,SOFT,0 days 02:17:36.632000
2022,Bahrain Grand Prix,LAT,Williams,15.0,2.0,SOFT,SOFT,0 days 01:28:39.444000
2022,Bahrain Grand Prix,LAT,Williams,33.0,3.0,SOFT,MEDIUM,0 days 01:59:25.164000
2022,Bahrain Grand Prix,LAT,Williams,46.0,4.0,MEDIUM,SOFT,0 days 02:22:27.884000
2022,Bahrain Grand Prix,RUS,Mercedes,16.0,2.0,SOFT,HARD,0 days 01:29:43.340000
2022,Bahrain Grand Prix,RUS,Mercedes,34.0,3.0,HARD,MEDIUM,0 days 01:59:47.616000
2022,Bahrain Grand Prix,RUS,Mercedes,46.0,4.0,MEDIUM,SOFT,0 days 02:20:25.936000
2022,Bahrain Grand Prix,BOT,Alfa Romeo,15.0,2.0,SOFT,MEDIUM,0 days 01:28:21.906000
2022,Bahrain Grand Prix,BOT,Alfa Romeo,37.0,3.0,MEDIUM,MEDIUM,0 days 02:05:17.074000
2022,Bahrain Grand Prix,BOT,Alfa Romeo,46.0,4.0,MEDIUM,SOFT,0 days 02:21:10.475000
2022,Saudi Arabian Grand Prix,VER,Red Bull Racing,17.0,2.0,MEDIUM,HARD,0 days 01:31:02.769000
2022,Saudi Arabian Grand Prix,GAS,AlphaTauri,16.0,2.0,MEDIUM,HARD,0 days 01:29:18.124000
