driver,race,stint,compound,stint_length,avg_lap_time
ALB,Abu Dhabi Grand Prix,1.0,MEDIUM,16.0,91.75075
ALB,Abu Dhabi Grand Prix,2.0,HARD,40.0,90.4648
ALB,Abu Dhabi Grand Prix,3.0,HARD,15.0,88.66942857142858
ALB,Abu Dhabi Grand Prix,3.0,MEDIUM,22.0,91.52195238095238
ALB,Australian Grand Prix,1.0,HARD,38.0,85.89831034482758
ALB,Australian Grand Prix,1.0,MEDIUM,6.0,83.83014285714286
ALB,Australian Grand Prix,2.0,HARD,20.0,83.31311111111111
ALB,Australian Grand Prix,3.0,HARD,29.0,82.61775
ALB,Austrian Grand Prix,1.0,MEDIUM,11.0,71.84394736842106
ALB,Austrian Grand Prix,2.0,HARD,29.0,71.78354716981133
ALB,Austrian Grand Prix,2.0,MEDIUM,13.0,71.60900000000001
ALB,Austrian Grand Prix,3.0,HARD,31.0,71.18603703703704
ALB,Austrian Grand Prix,4.0,HARD,30.0,70.01810344827587
ALB,Azerbaijan Grand Prix,1.0,HARD,30.0,109.44703448275862
ALB,Azerbaijan Grand Prix,1.0,MEDIUM,8.0,110.67275000000001
ALB,Azerbaijan Grand Prix,2.0,HARD,40.0,108.6121320754717
ALB,Azerbaijan Grand Prix,2.0,MEDIUM,18.0,107.77917647058824
ALB,Azerbaijan Grand Prix,3.0,HARD,21.0,108.36929411764706
ALB,Bahrain Grand Prix,1.0,SOFT,14.0,100.32509090909092
ALB,Bahrain Grand Prix,2.0,HARD,20.0,97.9561052631579
ALB,Bahrain Grand Prix,2.0,MEDIUM,21.0,100.8871
ALB,Bahrain Grand Prix,2.0,SOFT,14.0,99.30376923076923
ALB,Bahrain Grand Prix,3.0,HARD,20.0,96.967
ALB,Bahrain Grand Prix,3.0,MEDIUM,10.0,99.18885714285715
ALB,Bahrain Grand Prix,4.0,SOFT,17.0,97.93686956521738
ALB,Belgian Grand Prix,1.0,MEDIUM,9.0,112.81281818181819
ALB,Belgian Grand Prix,1.0,SOFT,6.0,114.7388
