year,era,round,race_name,team,driver,teammate,pair,lap_number,lap_time_s,compound,tyre_life,stint,position
2024,2022-2024,1,Bahrain Grand Prix,Alpine,GAS,OCO,GAS-OCO,2.0,99.059,SOFT,2.0,1.0,17.0
2024,2022-2024,1,Bahrain Grand Prix,Alpine,GAS,OCO,GAS-OCO,3.0,98.744,SOFT,3.0,1.0,17.0
2024,2022-2024,1,Bahrain Grand Prix,Alpine,GAS,OCO,GAS-OCO,4.0,98.503,SOFT,4.0,1.0,17.0
2024,2022-2024,1,Bahrain Grand Prix,Alpine,GAS,OCO,GAS-OCO,5.0,98.664,SOFT,5.0,1.0,17.0
2024,2022-2024,1,Bahrain Grand Prix,Alpine,GAS,OCO,GAS-OCO,6.0,99.099,SOFT,6.0,1.0,17.0
2024,2022-2024,1,Bahrain Grand Prix,Alpine,GAS,OCO,GAS-OCO,7.0,99.078,SOFT,7.0,1.0,17.0
2024,2022-2024,1,Bahrain Grand Prix,Alpine,GAS,OCO,GAS-OCO,8.0,99.287,SOFT,8.0,1.0,17.0
2024,2022-2024,1,Bahrain Grand Prix,Alpine,GAS,OCO,GAS-OCO,9.0,99.452,SOFT,9.0,1.0,17.0
2024,2022-2024,1,Bahrain Grand Prix,Alpine,GAS,OCO,GAS-OCO,11.0,98.656,SOFT,11.0,1.0,14.0
2024,2022-2024,1,Bahrain Grand Prix,Alpine,GAS,OCO,GAS-OCO,14.0,97.689,HARD,2.0,2.0,19.0
2024,2022-2024,1,Bahrain Grand Prix,Alpine,GAS,OCO,GAS-OCO,15.0,97.492,HARD,3.0,2.0,19.0
2024,2022-2024,1,Bahrain Grand Prix,Alpine,GAS,OCO,GAS-OCO,16.0,97.521,HARD,4.0,2.0,19.0
2024,2022-2024,1,Bahrain Grand Prix,Alpine,GAS,OCO,GAS-OCO,17.0,97.949,HARD,5.0,2.0,19.0
2024,2022-2024,1,Bahrain Grand Prix,Alpine,GAS,OCO,GAS-OCO,18.0,97.791,HARD,6.0,2.0,19.0
2024,2022-2024,1,Bahrain Grand Prix,Alpine,GAS,OCO,GAS-OCO,19.0,97.702,HARD,7.0,2.0,19.0
2024,2022-2024,1,Bahrain Grand Prix,Alpine,GAS,OCO,GAS-OCO,20.0,98.036,HARD,8.0,2.0,18.0
2024,2022-2024,1,Bahrain Grand Prix,Alpine,GAS,OCO,GAS-OCO,21.0,98.094,HARD,9.0,2.0,18.0
2024,2022-2024,1,Bahrain Grand Prix,Alpine,GAS,OCO,GAS-OCO,22.0,97.868,HARD,10.0,2.0,18.0
2024,2022-2024,1,Bahrain Grand Prix,Alpine,GAS,OCO,GAS-OCO,23.0,98.104,HARD,11.0,2.0,18.0
2024,2022-2024,1,Bahrain Grand Prix,Alpine,GAS,OCO,GAS-OCO,24.0,98.192,HARD,12.0,2.0,18.0
2024,2022-2024,1,Bahrain Grand Prix,Alpine,GAS,OCO,GAS-OCO,25.0,98.16,HARD,13.0,2.0,18.0
2024,2022-2024,1,Bahrain Grand Prix,Alpine,GAS,OCO,GAS-OCO,26.0,98.379,HARD,14.0,2.0,18.0
2024,2022-2024,1,Bahrain Grand Prix,Alpine,GAS,OCO,GAS-OCO,27.0,98.4,HARD,15.0,2.0,18.0
2024,2022-2024,1,Bahrain Grand Prix,Alpine,GAS,OCO,GAS-OCO,28.0,98.615,HARD,16.0,2.0,17.0
2024,2022-2024,1,Bahrain Grand Prix,Alpine,GAS,OCO,GAS-OCO,29.0,98.55,HARD,17.0,2.0,16.0
