year,era,round,race_name,team,driver,teammate,pair,pit_duration_s,lap_number
2024,2022-2024,1,Bahrain Grand Prix,Alpine,GAS,OCO,GAS-OCO,29.802,12.0
2024,2022-2024,1,Bahrain Grand Prix,Alpine,GAS,OCO,GAS-OCO,26.536,31.0
2024,2022-2024,1,Bahrain Grand Prix,Alpine,GAS,OCO,GAS-OCO,25.107,43.0
2024,2022-2024,1,Bahrain Grand Prix,Alpine,OCO,GAS,GAS-OCO,24.691,10.0
2024,2022-2024,1,Bahrain Grand Prix,Alpine,OCO,GAS,GAS-OCO,25.13,30.0
2024,2022-2024,1,Bahrain Grand Prix,Aston Martin,ALO,STR,ALO-STR,24.862,15.0
2024,2022-2024,1,Bahrain Grand Prix,Aston Martin,ALO,STR,ALO-STR,25.061,41.0
2024,2022-2024,1,Bahrain Grand Prix,Aston Martin,STR,ALO,ALO-STR,24.354,9.0
2024,2022-2024,1,Bahrain Grand Prix,Aston Martin,STR,ALO,ALO-STR,24.42,27.0
2024,2022-2024,1,Bahrain Grand Prix,Ferrari,LEC,SAI,LEC-SAI,24.048,11.0
2024,2022-2024,1,Bahrain Grand Prix,Ferrari,LEC,SAI,LEC-SAI,24.081,34.0
2024,2022-2024,1,Bahrain Grand Prix,Ferrari,SAI,LEC,LEC-SAI,24.58,14.0
2024,2022-2024,1,Bahrain Grand Prix,Ferrari,SAI,LEC,LEC-SAI,23.886,35.0
2024,2022-2024,1,Bahrain Grand Prix,Haas F1 Team,HUL,MAG,HUL-MAG,36.563,1.0
2024,2022-2024,1,Bahrain Grand Prix,Haas F1 Team,HUL,MAG,HUL-MAG,24.613,20.0
2024,2022-2024,1,Bahrain Grand Prix,Haas F1 Team,HUL,MAG,HUL-MAG,24.333,41.0
2024,2022-2024,1,Bahrain Grand Prix,Haas F1 Team,MAG,HUL,HUL-MAG,25.897,11.0
2024,2022-2024,1,Bahrain Grand Prix,Haas F1 Team,MAG,HUL,HUL-MAG,24.557,32.0
2024,2022-2024,1,Bahrain Grand Prix,Kick Sauber,BOT,ZHO,BOT-ZHO,26.566,12.0
2024,2022-2024,1,Bahrain Grand Prix,Kick Sauber,ZHO,BOT,BOT-ZHO,25.141,9.0
2024,2022-2024,1,Bahrain Grand Prix,Kick Sauber,ZHO,BOT,BOT-ZHO,24.983,28.0
2024,2022-2024,1,Bahrain Grand Prix,McLaren,NOR,PIA,NOR-PIA,24.11,13.0
2024,2022-2024,1,Bahrain Grand Prix,McLaren,NOR,PIA,NOR-PIA,24.8,33.0
2024,2022-2024,1,Bahrain Grand Prix,McLaren,PIA,NOR,NOR-PIA,25.416,12.0
2024,2022-2024,1,Bahrain Grand Prix,McLaren,PIA,NOR,NOR-PIA,24.794,34.0
2024,2022-2024,1,Bahrain Grand Prix,Mercedes,HAM,RUS,HAM-RUS,25.064,12.0
2024,2022-2024,1,Bahrain Grand Prix,Mercedes,HAM,RUS,HAM-RUS,24.119,33.0
2024,2022-2024,1,Bahrain Grand Prix,Mercedes,RUS,HAM,HAM-RUS,24.766,11.0
2024,2022-2024,1,Bahrain Grand Prix,Mercedes,RUS,HAM,HAM-RUS,24.95,31.0
2024,2022-2024,1,Bahrain Grand Prix,RB,RIC,TSU,RIC-TSU,24.591,13.0
2024,2022-2024,1,Bahrain Grand Prix,RB,RIC,TSU,RIC-TSU,24.769,35.0
2024,2022-2024,1,Bahrain Grand Prix,RB,TSU,RIC,RIC-TSU,24.673000000000002,14.0
2024,2022-2024,1,Bahrain Grand Prix,RB,TSU,RIC,RIC-TSU,24.598,34.0
2024,2022-2024,1,Bahrain Grand Prix,Red Bull Racing,PER,VER,PER-VER,24.493,12.0
2024,2022-2024,1,Bahrain Grand Prix,Red Bull Racing,PER,VER,PER-VER,24.423,36.0
2024,2022-2024,1,Bahrain Grand Prix,Red Bull Racing,VER,PER,PER-VER,25.088,17.0
2024,2022-2024,1,Bahrain Grand Prix,Red Bull Racing,VER,PER,PER-VER,24.218,37.0
2024,2022-2024,1,Bahrain Grand Prix,Williams,ALB,SAR,ALB-SAR,24.779,15.0
2024,2022-2024,1,Bahrain Grand Prix,Williams,ALB,SAR,ALB-SAR,24.682,36.0
2024,2022-2024,1,Bahrain Grand Prix,Williams,SAR,ALB,ALB-SAR,35.725,10.0
2024,2022-2024,1,Bahrain Grand Prix,Williams,SAR,ALB,ALB-SAR,25.143,28.0
2024,2022-2024,1,Bahrain Grand Prix,Williams,SAR,ALB,ALB-SAR,25.429,40.0
2024,2022-2024,2,Saudi Arabian Grand Prix,Aston Martin,ALO,STR,ALO-STR,22.24,7.0
2024,2022-2024,2,Saudi Arabian Grand Prix,Ferrari,BEA,LEC,BEA-LEC,22.453,7.0
2024,2022-2024,2,Saudi Arabian Grand Prix,Ferrari,LEC,BEA,BEA-LEC,23.374,7.0
2024,2022-2024,2,Saudi Arabian Grand Prix,Haas F1 Team,HUL,MAG,HUL-MAG,21.107,33.0
2024,2022-2024,2,Saudi Arabian Grand Prix,Haas F1 Team,MAG,HUL,HUL-MAG,21.46,7.0
2024,2022-2024,2,Saudi Arabian Grand Prix,Kick Sauber,BOT,ZHO,BOT-ZHO,22.682,7.0
2024,2022-2024,2,Saudi Arabian Grand Prix,Kick Sauber,BOT,ZHO,BOT-ZHO,23.262,35.0
2024,2022-2024,2,Saudi Arabian Grand Prix,Kick Sauber,ZHO,BOT,BOT-ZHO,46.349,41.0
2024,2022-2024,2,Saudi Arabian Grand Prix,McLaren,NOR,PIA,NOR-PIA,22.266,37.0
2024,2022-2024,2,Saudi Arabian Grand Prix,McLaren,PIA,NOR,NOR-PIA,21.379,7.0
2024,2022-2024,2,Saudi Arabian Grand Prix,Mercedes,HAM,RUS,HAM-RUS,20.236,36.0
2024,2022-2024,2,Saudi Arabian Grand Prix,Mercedes,RUS,HAM,HAM-RUS,21.004,7.0
2024,2022-2024,2,Saudi Arabian Grand Prix,RB,TSU,RIC,RIC-TSU,21.74,7.0
2024,2022-2024,2,Saudi Arabian Grand Prix,Red Bull Racing,PER,VER,PER-VER,22.243,7.0
2024,2022-2024,2,Saudi Arabian Grand Prix,Red Bull Racing,VER,PER,PER-VER,20.668,7.0
2024,2022-2024,2,Saudi Arabian Grand Prix,Williams,ALB,SAR,ALB-SAR,21.633,7.0
2024,2022-2024,2,Saudi Arabian Grand Prix,Williams,SAR,ALB,ALB-SAR,23.717,7.0
2024,2022-2024,3,Australian Grand Prix,Alpine,GAS,OCO,GAS-OCO,20.245,17.0
2024,2022-2024,3,Australian Grand Prix,Alpine,GAS,OCO,GAS-OCO,17.575,41.0
2024,2022-2024,3,Australian Grand Prix,Alpine,OCO,GAS,GAS-OCO,18.313,9.0
2024,2022-2024,3,Australian Grand Prix,Alpine,OCO,GAS,GAS-OCO,30.508,16.0
2024,2022-2024,3,Australian Grand Prix,Alpine,OCO,GAS,GAS-OCO,17.794,42.0
2024,2022-2024,3,Australian Grand Prix,Aston Martin,ALO,STR,ALO-STR,18.141,17.0
2024,2022-2024,3,Australian Grand Prix,Aston Martin,ALO,STR,ALO-STR,17.816,41.0
2024,2022-2024,3,Australian Grand Prix,Aston Martin,STR,ALO,ALO-STR,17.75,8.0
2024,2022-2024,3,Australian Grand Prix,Aston Martin,STR,ALO,ALO-STR,17.83,37.0
2024,2022-2024,3,Australian Grand Prix,Ferrari,LEC,SAI,LEC-SAI,17.174,9.0
2024,2022-2024,3,Australian Grand Prix,Ferrari,LEC,SAI,LEC-SAI,17.213,34.0
2024,2022-2024,3,Australian Grand Prix,Ferrari,SAI,LEC,LEC-SAI,17.519,16.0
2024,2022-2024,3,Australian Grand Prix,Ferrari,SAI,LEC,LEC-SAI,17.705,41.0
2024,2022-2024,3,Australian Grand Prix,Haas F1 Team,HUL,MAG,HUL-MAG,18.218,17.0
2024,2022-2024,3,Australian Grand Prix,Haas F1 Team,HUL,MAG,HUL-MAG,18.102,35.0
2024,2022-2024,3,Australian Grand Prix,Haas F1 Team,MAG,HUL,HUL-MAG,18.213,7.0
2024,2022-2024,3,Australian Grand Prix,Haas F1 Team,MAG,HUL,HUL-MAG,18.078,33.0
2024,2022-2024,3,Australian Grand Prix,Kick Sauber,BOT,ZHO,BOT-ZHO,46.918,8.0
2024,2022-2024,3,Australian Grand Prix,Kick Sauber,BOT,ZHO,BOT-ZHO,18.87,36.0
2024,2022-2024,3,Australian Grand Prix,Kick Sauber,ZHO,BOT,BOT-ZHO,18.945,6.0
2024,2022-2024,3,Australian Grand Prix,Kick Sauber,ZHO,BOT,BOT-ZHO,36.696,35.0
2024,2022-2024,3,Australian Grand Prix,McLaren,NOR,PIA,NOR-PIA,17.822,14.0
2024,2022-2024,3,Australian Grand Prix,McLaren,NOR,PIA,NOR-PIA,17.621,40.0
2024,2022-2024,3,Australian Grand Prix,McLaren,PIA,NOR,NOR-PIA,17.274,9.0
2024,2022-2024,3,Australian Grand Prix,McLaren,PIA,NOR,NOR-PIA,18.426,39.0
2024,2022-2024,3,Australian Grand Prix,Mercedes,HAM,RUS,HAM-RUS,17.543,7.0
2024,2022-2024,3,Australian Grand Prix,Mercedes,RUS,HAM,HAM-RUS,17.943,8.0
2024,2022-2024,3,Australian Grand Prix,Mercedes,RUS,HAM,HAM-RUS,17.795,45.0
2024,2022-2024,3,Australian Grand Prix,RB,RIC,TSU,RIC-TSU,18.142,5.0
2024,2022-2024,3,Australian Grand Prix,RB,RIC,TSU,RIC-TSU,17.6,29.0
2024,2022-2024,3,Australian Grand Prix,RB,TSU,RIC,RIC-TSU,18.525,9.0
2024,2022-2024,3,Australian Grand Prix,RB,TSU,RIC,RIC-TSU,17.478,36.0
2024,2022-2024,3,Australian Grand Prix,Red Bull Racing,PER,VER,PER-VER,17.96,14.0
